Date,%Irr_yield_Chilli,%Rf_yield_Chilli,%yield_Chilli,%Irr_yield_Tobacco,%Rf_yield_Tobacco,%yield_Tobacco,%Irr_yield_Pulses,%Rf_yield_Pulses,%yield_Pulses
1998-12-31,0.981087,0,0.981087,1,0.843622,0.97671,0,0.881099,0.881099
1999-12-31,1,0,1,1,0.70136,0.955522,0,0.835907,0.835907
2000-12-31,0.900595,0,0.900595,0.98048,0.709186,0.940075,0,0.891851,0.891851
2001-12-31,1,0,1,1,0.825887,0.974068,0,0.904587,0.904587
2002-12-31,1,0,1,1,0.691019,0.953982,0,0.79311,0.79311
2003-12-31,0.890267,0,0.890267,0.997919,0.717423,0.956143,0,0.785655,0.785655
2004-12-31,0.87754,0,0.87754,0.994042,0.790066,0.963663,0,0.813785,0.813785
2005-12-31,1,0,1,1,0.805384,0.971015,0,0.905245,0.905245
2006-12-31,1,0,1,1,0.813942,0.972289,0,0.926987,0.926987
2007-12-31,1,0,1,1,0.742113,0.961591,0,0.776976,0.776976
2008-12-31,1,0,1,1,0.823299,0.973683,0,0.920482,0.920482
2009-12-31,1,0,1,1,0.868331,0.98039,0,0.973769,0.973769
2010-12-31,1,0,1,1,0.967893,0.995218,0,0.97942,0.97942
2011-12-31,1,0,1,1,0.73333,0.960283,0,0.832991,0.832991
2012-12-31,1,0,1,1,0.75405,0.963369,0,0.796032,0.796032
2013-12-31,1,0,1,1,0.779861,0.967213,0,0.860399,0.860399
2014-12-31,0.910475,0,0.910475,0.905034,0.606717,0.860604,0,0.893942,0.893942
2015-12-31,0.627642,0,0.627642,0.865634,0.797,0.855412,0,0.964428,0.964428
2016-12-31,0.859474,0,0.859474,0.773873,0.550935,0.740669,0,0.855312,0.855312
2017-12-31,0.641299,0,0.641299,0.809692,0.654266,0.786544,0,0.749888,0.749888
