Date,%Irr_CWR_met_Chilli,%Rf_CWR_met_Chilli,%Irr_CWR_met_Tobacco,%Rf_CWR_met_Tobacco,%Irr_CWR_met_Pulses,%Rf_CWR_met_Pulses,,Year,Rainfall,Type,,Type,%Irr_CWR_met_Chilli,%Rf_CWR_met_Chilli,%Irr_CWR_met_Tobacco,%Rf_CWR_met_Tobacco,%Irr_CWR_met_Pulses,%Rf_CWR_met_Pulses
31-12-1998,0.9486311,0,1.00,0.83,0,0.8513732,,1,1011.938178,N,,N,0.87,0.00,0.95,0.79,0.00,0.86
31-12-1999,0.87522835,0,0.85,0.67,0,0.7948842,,2,575.7231415,Mo,,Mo,0.79,0.00,0.80,0.63,0.00,0.79
31-12-2000,0.7153293,0,0.80,0.68,0,0.86481434,,3,1040.171094,N,,Mi,0.63,0.00,0.84,0.74,0.00,0.82
31-12-2001,0.7397565,0,0.96,0.81,0,0.88073426,,4,871.2709692,N,,S,0.39,0.00,0.58,0.56,0.00,0.87
31-12-2002,0.82200444,0,0.81,0.66,0,0.7413875,,5,641.0573097,Mo,,,,,,,,
31-12-2003,0.59247744,0,0.80,0.69,0,0.73206896,,6,769.6544697,Mi,,,,,,,,
31-12-2004,0.71387285,0,0.97,0.77,0,0.76723135,,7,836.7114459,Mi,,,,,,,,
31-12-2005,0.7416751,0,0.97,0.78,0,0.8815564,,8,1020.808563,N,,,,,,,,
31-12-2006,0.98351,0,0.99,0.79,0,0.90873426,,9,1054.160191,N,,,,,,,,
31-12-2007,1,0,1.00,0.71,0,0.7212194,,10,1085.509398,N,,,,,,,,
31-12-2008,0.93314207,0,0.98,0.80,0,0.9006029,,11,1074.560151,N,,,,,,,,
31-12-2009,0.69020784,0,0.90,0.85,0,0.96721125,,12,803.1658732,Mi,,,,,,,,
31-12-2010,1,0,1.00,0.96,0,0.9742752,,13,1372.535089,N,,,,,,,,
31-12-2011,1,0,1.00,0.70,0,0.79123867,,14,643.4129901,Mo,,,,,,,,
31-12-2012,0.82568693,0,0.87,0.73,0,0.7450399,,15,914.4310774,N,,,,,,,,
31-12-2013,0.7753077,0,0.96,0.76,0,0.8254982,,16,985.3189223,N,,,,,,,,
31-12-2014,0.39005414,0,0.58,0.56,0,0.867427,,17,559.7252719,S,,,,,,,,
31-12-2015,0.56796587,0,0.83,0.77,0,0.95553464,,18,748.1394737,Mi,,,,,,,,
31-12-2016,0.4459606,0,0.53,0.50,0,0.8191406,,19,606.7586464,Mo,,,,,,,,
31-12-2017,0.5770232,0,0.71,0.62,0,0.68736017,,20,708.0127404,Mi,,,,,,,,
