Year,Current_Rain,Original_Rain,Current_Runoff,Original_Runoff,Current_Recharge,Original_Recharge,Current_ET,Original_ET,Current_ET_Bio,Original_ET_Bio
1998,1011.94,1998,265.7066060548546,1011.94,133.363,266.05606367782707,612.8687712131955,132.837,1104.2,613.0447979974166
1999,575.723,1999,50.976016491502506,575.723,16.2004,50.976016491502506,508.5466942931167,13.4785,853.015,511.26857888746713
2000,1040.09,2000,300.1427007647488,1040.09,37.3027,285.59358933364723,702.6477850072949,44.0778,1041.13,710.4218444521089
2001,871.271,2001,205.42019003722217,871.271,100.905,205.42019003722217,564.9456745184938,91.0592,1061.87,574.791571339341
2002,641.057,2002,75.65787449768817,641.057,35.6538,63.70354447533715,529.7456306564059,41.7009,942.564,535.6529115076931
2003,769.56,2003,107.60542305984325,769.56,40.231,107.60542305984325,621.7235405140715,36.734,945.154,625.2205995863312
2004,836.711,2004,108.13783154524417,836.711,61.7517,108.13783154524417,666.8219411748696,57.0441,1045.37,671.5294871617151
2005,1020.81,2005,284.2250234987759,1020.81,118.667,283.85019013894214,617.9165413336704,115.188,1058.87,621.7701470552059
2006,1054.16,2006,391.745949405085,1054.16,86.9754,391.745949405085,575.4386745586319,84.8762,1083.53,577.5378588073219
2007,1085.44,2007,411.8925286585646,1085.44,55.6373,368.05838025999446,617.910141860349,94.5116,1040.63,622.8700279852128
2008,1074.52,2008,300.55897490575273,1074.52,68.3098,284.58919997199274,705.6512208555797,75.3031,1204.04,714.6276745883449
2009,803.14,2009,98.33759387191931,803.14,77.9211,98.33759387191931,626.8812971782799,75.9551,1182.92,628.8473361653256
2010,1372.47,2010,540.6040806832141,1372.47,17.0901,454.75926416237166,814.7758670029532,99.8184,1352.42,817.8923042810187
2011,643.46,2011,36.0132840704552,643.46,48.5762,36.0132840704552,558.870545044165,46.5558,985.679,560.8909559735805
2012,914.38,2012,253.75328105867928,914.38,42.7006,245.54465857454957,617.9260695828428,41.4311,1023.84,627.404274834141
2013,985.26,2013,230.22220257613685,985.26,60.6794,214.54280629219136,694.35835772311,58.9831,1110.92,711.7341430974703
2014,559.76,2014,82.16622694733084,559.76,5.93903,82.16622694733084,471.6547402025162,4.85938,854.93,472.73439315176336
2015,748.13,2015,70.48867620329904,748.13,31.3723,70.48867620329904,646.2690402496553,31.3722,1154.72,646.269079846756
2016,606.77,2016,91.26866620868941,606.77,10.6028,91.26866620868941,504.898538610028,10.6028,810.311,504.898538610028
2017,708.05,2017,26.53418097821293,708.05,36.0134,26.53418097821293,645.5023995499059,30.6651,987.265,650.850739740732
